name,Product,product_uom,product_qty,yield,Don't Import,BoM Lines / Product Unit of Measure,BoM Lines / Product Quantity,bom_lines/component_type,type,BoM Lines / Product
,,,,, ACP0010101 ,kg,0.2, raw_material ,,ACP0010101
,,,,, ALH0020101 ,kg,8, raw_material ,,ALH0020101
,,,,, ALH0020201 ,kg,8, raw_material ,,ALH0020201
,,,,, AVE0010101 ,kg,0.2, raw_material ,,AVE0010101
,,,,, AVE0010201 ,kg,0.2, raw_material ,,AVE0010201
,,,,, BMP0010101 ,kg,0.2, raw_material ,,BMP0010101
,,,,, BMP0010201 ,kg,0.2, raw_material ,,BMP0010201
,,,,, BPP0010101 ,kg,0.04, raw_material ,,BPP0010101
,,,,, BSU0020101 ,kg,50, raw_material ,,BSU0020101
,,,,, BSU0020201 ,kg,50, raw_material ,,BSU0020201
,,,,, BSU0020301 ,kg,50, raw_material ,,BSU0020301
,,,,, BSU0020401 ,kg,50, raw_material ,,BSU0020401
,,,,, BSU0020501 ,kg,50, raw_material ,,BSU0020501
,,,,, BSU0020601 ,kg,50, raw_material ,,BSU0020601
,,,,, BSS0010101 ,kg,0.12, raw_material ,,BSS0010101
,,,,, BSS0010201 ,kg,0.12, raw_material ,,BSS0010201
,,,,, BCA0010101 ,kg,0.72, raw_material ,,BCA0010101
,,,,, BCA0010201 ,kg,0.72, raw_material ,,BCA0010201
,,,,, BSC0030101 ,kg,1.2, raw_material ,,BSC0030101
,,,,, BSC0030201 ,kg,1.2, raw_material ,,BSC0030201
,,,,, BGL0020101 ,kg,18.929, raw_material ,,BGL0020101
,,,,, BGL0020201 ,kg,18.929, raw_material ,,BGL0020201
,,,,, BGL0020301 ,kg,18.929, raw_material ,,BGL0020301
,,,,, BPH0030101 ,kg,0.352, raw_material ,,BPH0030101
,,,,, BXG0010101 ,kg,0.4, raw_material ,,BXG0010101
,,,,, BPG0010101 ,kg,6.209, raw_material ,,BPG0010101
,,,,, BPG0010201 ,kg,6.209, raw_material ,,BPG0010201
,,,,, BPG0010301 ,kg,6.209, raw_material ,,BPG0010301
,,,,, BPG0010401 ,kg,6.209, raw_material ,,BPG0010401
,,,,, BSO0020101 ,kg,26.096, raw_material ,,BSO0020101
,,,,, BSO0020201 ,kg,26.096, raw_material ,,BSO0020201
,,,,, BEO0010101 ,kg,0.421, raw_material ,,BEO0010101
,,,,, BPW0010101 ,Liter(s),200, raw_material ,,BPW0010101
,,,,, CBO0020100 ,Pcs,"2,000", kemas_primer ,,CBO0020100
,,,,, CBO0020200 ,Pcs,"2,000", kemas_primer ,,CBO0020200
,,,,, CBO0020300 ,Pcs,"2,000", kemas_primer ,,CBO0020300
,,,,, CBO0020400 ,Pcs,"2,000", kemas_primer ,,CBO0020400
,,,,, CBO0020500 ,Pcs,"2,000", kemas_primer ,,CBO0020500
,,,,, CBO0020600 ,Pcs,"2,000", kemas_primer ,,CBO0020600
