id,user_type/id,code,company_id/id,type,name,currency_mode,parent_id/id
__export__.account_account_2670000,account.data_account_type_expense,5030014,__export__.res_company_2,Regular,Marine Services Fees,At Date,__export__.account_account_2470000
__export__.account_account_2680000,account.data_account_type_expense,5030015,__export__.res_company_2,Regular,Vessel Discharge Operational Expense,At Date,__export__.account_account_2470000
__export__.account_account_2690000,account.data_account_type_expense,5030016,__export__.res_company_2,Regular,Agents and Surveyors Fees ,At Date,__export__.account_account_2470000
__export__.account_account_2700000,account.data_account_type_expense,5030017,__export__.res_company_2,Regular,LC Fees and Related Charges,At Date,__export__.account_account_2470000
__export__.account_account_2710000,account.data_account_type_expense,5030018,__export__.res_company_2,Regular,LC Facility Fees,At Date,__export__.account_account_2470000
__export__.account_account_2720000,account.data_account_type_expense,5030019,__export__.res_company_2,Regular,LC Refinancing Charges ,At Date,__export__.account_account_2470000
__export__.account_account_2730000,account.data_account_type_expense,5030020,__export__.res_company_2,Regular,Swap Charges,At Date,__export__.account_account_2470000
__export__.account_account_2740000,account.data_account_type_expense,5030021,__export__.res_company_2,Regular,Demurrage Cost,At Date,__export__.account_account_2470000
__export__.account_account_2750000,account.data_account_type_expense,5030022,__export__.res_company_2,Regular,Inspections Fees ,At Date,__export__.account_account_2470000
__export__.account_account_2760000,account.data_account_type_expense,5030023,__export__.res_company_2,Regular,Product Monitoring Charges and Fees,At Date,__export__.account_account_2470000
__export__.account_account_2770000,account.data_account_type_expense,5030024,__export__.res_company_2,Regular,Port Charges and Fees,At Date,__export__.account_account_2470000
__export__.account_account_2780000,account.data_account_type_expense,5030025,__export__.res_company_2,Regular,Doping Services - Jolec,At Date,__export__.account_account_2470000
__export__.account_account_3370000,account.data_account_type_expense,5030026,__export__.res_company_2,Regular,Operational Expenses,At Date,__export__.account_account_2470000
__export__.account_account_3520000,account.data_account_type_expense,5030027,__export__.res_company_2,Regular,Consulting Expenses,At Date,__export__.account_account_2470000
__export__.account_account_4170000,account.data_account_type_expense,5030028,__export__.res_company_2,Regular,Fuel Marking Margin,At Date,__export__.account_account_2470000
__export__.account_account_4290000,account.data_account_type_expense,5030029,__export__.res_company_2,Regular,BOST Margins,At Date,__export__.account_account_2470000
__export__.account_account_220000,account.account_type_expense_view1,6000000,__export__.res_company_2,View,Selling General and Administration Expense,At Date,__export__.account_account_170000
__export__.account_account_230000,account.data_account_type_expense,220000,__export__.res_company_2,Regular,Expenses,At Date,__export__.account_account_220000
__export__.account_account_240000,account.data_account_type_expense,6000001,__export__.res_company_2,Regular,Accounting and Professional Fees,At Date,__export__.account_account_220000
__export__.account_account_2650000,account.data_account_type_expense,600001,__export__.res_company_2,Regular,Product Discount,At Date,__export__.account_account_220000
__export__.account_account_2580000,account.data_account_type_expense,6000009,__export__.res_company_2,Regular,Exchange Loss,At Date,__export__.account_account_220000
__export__.account_account_2970000,account.data_account_type_expense,6000002,__export__.res_company_2,Regular,Communication Services,At Date,__export__.account_account_220000
__export__.account_account_2980000,account.data_account_type_expense,6000003,__export__.res_company_2,Regular,Educational Support - Corporate,At Date,__export__.account_account_220000
__export__.account_account_2990000,account.data_account_type_expense,6000004,__export__.res_company_2,Regular,Business Donation,At Date,__export__.account_account_220000
__export__.account_account_3000000,account.data_account_type_expense,6000005,__export__.res_company_2,Regular,Advertising and Promotion,At Date,__export__.account_account_220000
__export__.account_account_3010000,account.data_account_type_expense,6000006,__export__.res_company_2,Regular,Insurance ,At Date,__export__.account_account_220000
__export__.account_account_3020000,account.data_account_type_expense,6000007,__export__.res_company_2,Regular,Office Supplies and Consumables,At Date,__export__.account_account_220000
__export__.account_account_3030000,account.data_account_type_expense,6000008,__export__.res_company_2,Regular,General Office Expenses ,At Date,__export__.account_account_220000
__export__.account_account_3040000,account.data_account_type_expense,6000010,__export__.res_company_2,Regular,General Office Repairs,At Date,__export__.account_account_220000
__export__.account_account_3050000,account.data_account_type_expense,6000011,__export__.res_company_2,Regular,Vehicle Repairs- Major,At Date,__export__.account_account_220000
__export__.account_account_3060000,account.data_account_type_expense,6000012,__export__.res_company_2,Regular,Vehicle Services - General,At Date,__export__.account_account_220000
__export__.account_account_3070000,account.data_account_type_expense,6000013,__export__.res_company_2,Regular,Fuel Expeneses,At Date,__export__.account_account_220000
__export__.account_account_3080000,account.data_account_type_expense,6000014,__export__.res_company_2,Regular,Security Services,At Date,__export__.account_account_220000
__export__.account_account_3090000,account.data_account_type_expense,6000015,__export__.res_company_2,Regular,Registrations,At Date,__export__.account_account_220000
__export__.account_account_3240000,account.data_account_type_expense,6000016,__export__.res_company_2,Regular,Interest and Bank Charges,At Date,__export__.account_account_220000
__export__.account_account_3250000,account.data_account_type_expense,6000017,__export__.res_company_2,Regular,Travel and Accommodation Expenses,At Date,__export__.account_account_220000
__export__.account_account_3260000,account.data_account_type_expense,6000018,__export__.res_company_2,Regular,Freight & Clearing Charges,At Date,__export__.account_account_220000
