name,location_id,usage
Palet D2,Physical Locations / WH / Stock / Gudang Bahan Kemas / Gudang Corbox,Internal Location
Palet D3,Physical Locations / WH / Stock / Gudang Bahan Kemas / Gudang Corbox,Internal Location
Palet D4,Physical Locations / WH / Stock / Gudang Bahan Kemas / Gudang Corbox,Internal Location
Palet D5,Physical Locations / WH / Stock / Gudang Bahan Kemas / Gudang Corbox,Internal Location
Palet D6,Physical Locations / WH / Stock / Gudang Bahan Kemas / Gudang Corbox,Internal Location
Palet D7,Physical Locations / WH / Stock / Gudang Bahan Kemas / Gudang Corbox,Internal Location
Area Penimbangan,Physical Locations / WH / Stock,Internal Location
Rak A1,Physical Locations / WH / Stock / Area Penimbangan,Internal Location
Rak B1,Physical Locations / WH / Stock / Area Penimbangan,Internal Location
Rak B2,Physical Locations / WH / Stock / Area Penimbangan,Internal Location
Rak C1,Physical Locations / WH / Stock / Area Penimbangan,Internal Location
Gudang Obat Jadi Pusat,Physical Locations / WH / Stock,Internal Location
Blok A 45 Palet,Physical Locations / WH / Stock / Gudang Obat Jadi Pusat,Internal Location
Blok B 32 Palet,Physical Locations / WH / Stock / Gudang Obat Jadi Pusat,Internal Location
Area Terkondisikan 1,Physical Locations / WH / Stock / Gudang Obat Jadi Pusat,Internal Location
Blok A 3 Palet,Physical Locations / WH / Stock / Gudang Obat Jadi Pusat / Area Terkondisikan 1,Internal Location
Blok B 3 Palet,Physical Locations / WH / Stock / Gudang Obat Jadi Pusat / Area Terkondisikan 1,Internal Location
Blok C 3 Palet,Physical Locations / WH / Stock / Gudang Obat Jadi Pusat / Area Terkondisikan 1,Internal Location
Blok D 3 Palet,Physical Locations / WH / Stock / Gudang Obat Jadi Pusat / Area Terkondisikan 1,Internal Location
Blok E 3 Palet,Physical Locations / WH / Stock / Gudang Obat Jadi Pusat / Area Terkondisikan 1,Internal Location
Blok F 5 Palet,Physical Locations / WH / Stock / Gudang Obat Jadi Pusat / Area Terkondisikan 1,Internal Location
Area Terkondisikan 2,Physical Locations / WH / Stock / Gudang Obat Jadi Pusat,Internal Location
Blok A 4 Palet,Physical Locations / WH / Stock / Gudang Obat Jadi Pusat / Area Terkondisikan 2,Internal Location
Blok B 4 Palet,Physical Locations / WH / Stock / Gudang Obat Jadi Pusat / Area Terkondisikan 2,Internal Location
 Blok C 4 Palet,Physical Locations / WH / Stock / Gudang Obat Jadi Pusat / Area Terkondisikan 2,Internal Location
Blok D 4 Palet,Physical Locations / WH / Stock / Gudang Obat Jadi Pusat / Area Terkondisikan 2,Internal Location
Blok E 2 Palet,Physical Locations / WH / Stock / Gudang Obat Jadi Pusat / Area Terkondisikan 2,Internal Location
Blok F 2 Blok,Physical Locations / WH / Stock / Gudang Obat Jadi Pusat / Area Terkondisikan 2,Internal Location
