name,type,capacity,departement,location,,,,
Mesin Counting,,punya kapsul,Produksi Soft Capsule,Ruang Pengemasan Primer,,,,
Timbangan Jadever 16.2-30 Kg,JWE-30K,16.2-30 Kg,Produksi Soft Capsule,Ruang Pengemasan Primer,,,,
Tumbling Dryers System Chang Sung Phonetlan,CS-M3,,Produksi Soft Capsule,Ruang Pengisian (End Capsule),,,,
Mesin Counting Tamaru Mitra Sejati,TC100,,Produksi Soft Capsule,Ruang Sortir & Counting,,,,
Mesin Seal Rusak,,rusak,Produksi Soft Capsule,Ruang Sortir & Counting,,,,
Timbangan Scaltex,SSH93,s/d 3.5 Kg,Produksi Soft Capsule,Ruang Sortir & Counting,,,,
Timbangan Scaltex,SSH93,s/d 3.5 Kg,Produksi Soft Capsule,Ruang Sortir & Counting,,,,
Timbangan Mettler Toledo 189.6 Gr - 8 Kg,SB8001,189.6 Gr - 8 Kg,Produksi Soft Capsule,Ruang Timbang,,,,
Timbangan Avery Beker,HL122,0.015- 60 Kg,Produksi Soft Capsule,Ruang Timbang,,,,
Ultra Thorax Mixer Koy,yokinsiron,,Produksi Syrup,Ruang Syrup 6,,,,
Hand Mixer Makita,UT1301,,Produksi Syrup,Ruang Syrup 6,,,,
Mesin Filling Syrup Jihcheng,,,Produksi Syrup,Ruang Syrup 6,,,,
Pompa Transfer Elepon Seal,SL7SN,,Produksi Syrup,Ruang Syrup 6,,,,
Tangki Heater Stainless,,,Produksi Syrup,Ruang Syrup 6,,,,
Coloid Mill Achtung,JV10,,Produksi Syrup,Ruang Syrup 7,,,,
Hand Mixer Makita,UT1301,,Produksi Syrup,Ruang Syrup 7,,,,
Mesin Filling Jihcheng,,,Produksi Syrup,Ruang Syrup 7,,,,
Stand Mixer,TP-101,,Produksi Syrup,Ruang Syrup 7,,,,
Tangki Mixer,TKMS-03,,Produksi Syrup,Ruang Syrup 7,,,,
Tangki Mixer,,,Produksi Syrup,Ruang Syrup 7,,,,
Ultra Torax Mixer,S-007,,Produksi Syrup,Ruang Syrup 7,,,,
Hand Mixer Makita,UT1301,,Produksi Syrup,Ruang Syrup 8,,,,
